#,Name,Date
1.0,a9.1 CRYSTAL FALLS front,"Tue, Mar 18"
2.0,SEASON KICKOFF a18.1 FOREST CREEK,"Sat, Mar 29"
3.0,a9.2 TERAVISTA front,"Tue, Apr 08"
4.0,a9.3 STAR RANCH front,"Tue, Apr 22"
5.0,S18.5 VAALER CREEK,"Sat, Apr 26"
6.0,a9.4 FOREST CREEK front (cancelled due to rain),"Tue, May 06"
7.0,a9.4 SHADOWGLEN front,"Tue, May 13"
8.0,HILL COUNTRY MATCHES @ COMANCHE TRACE,"Sat, May 17"
9.0,a9.5 FOREST CREEK front,"Tue, May 20"
10.0,a9.6 AVERY RANCH front,"Tue, May 27"
11.0,a9.7 TERAVISTA back,"Tue, Jun 03"
12.0,s18.7 KISSING TREE,"Sat, Jun 07"
13.0,a9.8 STAR RANCH front,"Tue, Jun 10"
14.0,a9.9 TERAVISTA front,"Tue, Jun 17"
15.0,Two Man VAALER CREEK | Round 1,"Sat, Jun 21"
16.0,Two Man VAALER CREEK | Round 2,"Sun, Jun 22"
17.0,a9.10 SHADOWGLEN back,"Tue, Jun 24"
18.0,s18.8 DELAWARE SPRINGS,"Sat, Jun 28"
19.0,a9.11 FOREST CREEK front,"Tue, Jul 01"
20.0,a9.12 AVERY RANCH back+,"Tue, Jul 08"
21.0,a9.13 TGF Exclusive | TWIN CREEKS CC,"Mon, Jul 14"
22.0,a9.14 STAR RANCH front+,"Tue, Jul 22"
24.0,a9.15 FOREST CREEK front,"Tue, Jul 29"
25.0,AUSTIN SUMMER CHAMPIONSHIP @ STAR RANCH,"Sat, Aug 02"
26.0,19th TGF CHAMPIONSHIP @ HYATT LOST PINES - Round 1,"Sat, Aug 09"
27.0,19th TGF CHAMPIONSHIP @ HYATT LOST PINES - Round 2,"Sun, Aug 10"
28.0,FALL KICKOFF @ VAALER CREEK,"Sat, Aug 23"
29.0,a9.16 AVERY RANCH front,"Tue, Aug 26"
30.0,a9.17 TERAVISTA front,"Tue, Sep 02"
31.0,a9.18 STAR RANCH front,"Tue, Sep 09"
32.0,a18.3 DELAWARE SPRINGS,"Sat, Sep 13"
33.0,a9.19 SHADOWGLEN front,"Tue, Sep 16"
34.0,a9.20 FOREST CREEK front,"Tue, Sep 23"
35.0,a9.21 TERAVISTA back+,"Tue, Sep 30"
36.0,a18.4 FALCONHEAD,"Sat, Oct 04"
37.0,a9.22 AVERY RANCH front,"Tue, Oct 07"
38.0,a9.23 STAR RANCH back,"Tue, Oct 14"
39.0,5th LONE STAR CUP @ SQUAW VALLEY - Day 1,"Sat, Oct 18"
40.0,5th LONE STAR CUP @ SQUAW VALLEY - Day 2,"Sun, Oct 19"
41.0,a9.24 STAR RANCH front,"Tue, Oct 28"
42.0,FALL CHAMPIONSHIP @ KISSING TREE,"Sat, Nov 01"
43.0,a18.1 FOREST CREEK,"Sat, Jan 24"
44.0,a18.2 DELAWARE SPRINGS,"Sat, Feb 07"
45.0,a18.3 TERAVISTA,"Sat, Feb 21"
