#,Name,Date
1.0,CEDAR CREEK,"Sat, Feb 07"
2.0,LA CANTERA,"Sun, Feb 22"
3.0,SAN ANTONIO KICKOFF Cedar Creek,"Sun, Mar 15"
4.0,s9.1 The Quarry,"Wed, Mar 18"
5.0,Two Man VAALER CREEK | Round 1,"Sat, Mar 21"
6.0,Two Man VAALER CREEK | Round 2,"Sun, Mar 22"
7.0,s9.2 Canyon Springs,"Tue, Mar 24"
8.0,s9.3 Silverhorn,"Tue, Mar 31"
9.0,s9.4 The Quarry,"Tue, Apr 07"
10.0,s18.4 LANDA PARK,"Sat, Apr 11"
11.0,s9.5 Brackenridge,"Tue, Apr 14"
12.0,s9.6 The Quarry (RAIN OUT),"Tue, Apr 21"
14.0,s9.7 Canyon Springs,"Tue, Apr 28"
15.0,s18.5 WILLOW SPRINGS,"Sat, May 02"
16.0,s9.8 Silverhorn,"Tue, May 05"
17.0,s9.9 TPC San Antonio | Canyons,"Tue, May 12"
18.0,HILL COUNTRY MATCHES | Comanche Trace,"Sat, May 16"
19.0,s9.10 Riverside,"Tue, May 19"
20.0,s9.11 The Quarry (RAIN OUT),"Tue, May 26"
21.0,s18.6 FLYING L RANCH,"Sat, May 30"
22.0,s9.12 Canyon Springs,"Tue, Jun 02"
23.0,s9.13 Silverhorn,"Tue, Jun 09"
24.0,Two Man DELAWARE SPRINGS | Round 1,"Sat, Jun 13"
25.0,Two Man LEGENDS | Round 2,"Sun, Jun 14"
26.0,s9.14 Hill Country,"Tue, Jun 16"
27.0,s9.15 The Quarry,"Tue, Jun 23"
28.0,s18.7 KISSING TREE,"Sat, Jun 27"
29.0,s9.16 TPC San Antonio | Oaks,"Tue, Jun 30"
30.0,s9.17 Silverhorn,"Tue, Jul 07"
31.0,s9.18 Cedar Creek,"Tue, Jul 14"
32.0,s18.8 VAALER CREEK,"Sat, Jul 18"
33.0,s9.19 The Quarry,"Tue, Jul 21"
34.0,s9.20 Canyon Springs,"Tue, Jul 28"
35.0,s18.9 SAN ANTONIO CHAMPIONSHIP | The Quarry,"Sat, Aug 01"
36.0,Two Man TPC SAN ANTONIO | Round 1,"Sat, Aug 08"
37.0,Two Man TPC SAN ANTONIO | Round 2,"Sun, Aug 09"
38.0,20th TGF CHAMPIONSHIP | Lost Pines | Round 1,"Sat, Aug 15"
39.0,20th TGF CHAMPIONSHIP | Lost Pines | Round 2,"Sun, Aug 16"
40.0,s18.10 FALL KICKOFF | TBD,"Sat, Aug 29"
41.0,LONE STAR CUP | The Hideout | Practice Round,"Fri, Oct 09"
42.0,LONE STAR CUP | The Hideout | FOURBALL,"Sat, Oct 10"
43.0,LONE STAR CUP | The Hideout | FOURSOMES,"Sat, Oct 10"
44.0,LONE STAR CUP | The Hideout | SINGLES,"Sun, Oct 11"
